generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774717534-RBv1klIJCCZ14FwKKGbf,2026-03-28 17:05:34.844,0.003334,,,,0,66626,9,0,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,2733,2647,OpenClaw,rpi5
gen-1774717529-yijNgfK7yc6lQfGdg5UN,2026-03-28 17:05:29.036,0.41604,,,0,0,82863,69,0,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,tool_use,tool_calls,4652,4212,OpenClaw,rpi5
gen-1774716547-g9fD1FJhcjXMfOOjzAqi,2026-03-28 16:49:07.077,0.002007,,-0.002977,,0,66937,4096,3008,66176,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,29145,23628,OpenClaw,rpi5
gen-1774716527-YXU2Eet6a3rRiGtnYXjA,2026-03-28 16:48:47.909,0.001386,,-0.00292,,0,66223,2490,1856,64896,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,17431,14599,OpenClaw,rpi5
gen-1774716498-MAGIr0QN9ickW44Um0gS,2026-03-28 16:48:17.825,0.002175,,-0.002712,,0,65003,4096,2944,60288,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,27465,22993,OpenClaw,rpi5
gen-1774716487-VJTyxHY4x94h0RyPLuCw,2026-03-28 16:48:07.528,0.388415,,,0,0,75888,359,0,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,tool_use,tool_calls,8618,3437,OpenClaw,rpi5
gen-1774716485-SnntCO1bTmLQe8NUZSa3,2026-03-28 16:48:05.214,0.00034,,-0.002695,,0,60419,37,0,59904,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,1389,1177,OpenClaw,rpi5
gen-1774716470-rn4nh38QcLlj5iYOosGe,2026-03-28 16:47:50.266,0.000795,,-0.00262,,0,60013,1040,832,58240,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,14243,14096,OpenClaw,rpi5
gen-1774716460-J7XZcxdVJEGdITJncU1G,2026-03-28 16:47:40.729,0.3761,,,0,0,74070,230,0,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,end_turn,stop,8164,3075,OpenClaw,rpi5
gen-1774716436-orUiHk8ZtVkr0S9ikfNy,2026-03-28 16:47:16.437,0.37694,,,0,0,73133,451,0,0,anthropic/claude-4.6-opus-20260205,Google,standard,false,true,,tool_use,tool_calls,23068,5210,OpenClaw,rpi5
